id,amount,merchant,description,category,region,date
EXP006439,197.01,Verizon,Verizon PURCHASE,utilities,NJ,2025-10-02
EXP005458,164.65,Trader Joe's #6461,SUPERMARKET POS,groceries,CA,2025-01-02
EXP007482,459.22,Rite Aid #1394,PRESCRIPTION POS,healthcare,IL,2025-09-07
EXP002339,26.98,BP #7691,TOLL,transport,MA,2025-04-18
EXP002225,36.67,Uber #8690,Uber PURCHASE,transport,FL,2025-10-18
EXP000235,32.71,McDonald's,McDonald's CHARGE,food,TX,2025-02-08
EXP007562,374.01,Walgreens,PRESCRIPTION,healthcare,TX,2025-10-31
EXP001694,378.52,Best Buy #9318,ORDER,shopping,TX,2025-02-12
EXP001106,479.06,POS Target #6442,POS CHARGE,shopping,NJ,2025-05-14
EXP005317,175.48,Whole Foods,FRESH,groceries,CA,2025-05-22
EXP002382,26.67,Exxon #9414,FUEL CHARGE,transport,NJ,2025-05-01
EXP002312,61.93,Shell,FUEL CHARGE,transport,MA,2024-11-23
EXP007798,333.36,CVS Pharmacy #1844,PRESCRIPTION,healthcare,FL,2025-03-25
EXP006367,176.91,ACH AT&T,SERVICE CHARGE,utilities,NJ,2024-12-30
EXP007690,21.44,Walgreens #7127,HEALTHCARE SERVICE,healthcare,IL,2025-05-23
EXP006537,263.43,DTE Energy DSWPX6,BILL PAYMENT,utilities,IL,2025-02-25
EXP001333,210.91,AMZNvCOM/BILL9031 #5738,ONLINE ORDER,shopping,TX,2025-07-09
EXP000424,36.44,McDonalds #8171,INSTORE POS,food,CA,2025-05-20
EXP007287,245.59,ACH Health Clinic #9298,PHARMACY,healthcare,WA,2024-11-24
EXP000113,34.75,Dominos,POS PURCHASE,food,NJ,2025-02-05
EXP001867,290.31,AMAZON.COM*2899,RETAIL DEBIT,shopping,NJ,2025-09-21
EXP001859,197.55,Walmart,MKTPLACE POS,shopping,WA,2025-09-18
EXP003039,16.75,Netflix #4131,FEE POS,entertainment,NJ,2024-12-26
EXP006172,395.09,ONLINE DTE Energy,BILL PAYMENT,utilities,WA,2025-07-23
EXP003800,15.08,ACH Disney+,STREAMING,entertainment,CA,2025-07-22
EXP007356,446.38,Health Clinic WA,PHARMACY,healthcare,WA,2025-08-23
EXP003056,14.67,Disn6y+,STREAMING,entertainment,WA,2024-11-13
EXP003774,16.31,Spotify,MONTHLY SUBSCRIPTION,entertainment,FL,2025-01-19
EXP004856,64.56,Dell,APP PURCHASE,technology,MA,2025-09-09
EXP001020,351.81,eBay #4707,ONLINE ORDER,shopping,WA,2025-05-06
EXP001492,435.52,Walmart #2295,ONLINE ORDER,shopping,TX,2024-11-30
EXP001079,184.7,eBay #1200,MKTPLACE,shopping,CA,2025-01-14
EXP000159,21.92,Burger King,MEAL,food,TX,2025-01-16
EXP002291,67.31,DEBIT Lyft #3914,RIDE,transport,MA,2025-03-07
EXP007014,304.47,iRte Aid #4023,PRESCRIPTION,healthcare,FL,2025-07-13
EXP006633,216.12,PG&E #7115,UTILITY BILL,utilities,FL,2024-11-18
EXP002037,67.8,CREDIT Taxi Co,CREDIT CHARGE,transport,IL,2025-06-16
EXP003276,8.53,YouTube Premium #9378,YouTube CHARGE,entertainment,CA,2025-08-08
EXP000938,16.33,MCD'S #9535,APP PURCHASE DEBIT,food,NY,2025-02-14
EXP004490,150.52,MicrsooftSpre RVSF64,ELECTRONICS ONLINE,technology,CA,2025-01-24
EXP000820,13.87,Dominos,Dominos CHARGE,food,NJ,2025-04-15
EXP006952,138.88,AT&T #2492,UTILITY BILL DEBIT,utilities,FL,2025-08-18
EXP000881,56.37,Dominos #9930,COFFEE,food,TX,2025-02-17
EXP003855,6.78,YouTube Premium #9558,STREAMING,entertainment,WA,2025-09-07
EXP000007,29.41,Burger Kign TX,APP PURCHASE AUTO-PAY,food,IL,2025-01-22
EXP001097,310.73,AMZN MKTP US*6525 #5695,RETAIL,shopping,NY,2025-03-22
EXP003963,9.1,YouTube Premium,FEE DEBIT,entertainment,MA,2024-11-07
EXP002271,65.87,Lyft #2475,Lyft CHARGE,transport,WA,2024-11-26
EXP004588,725.6,Gogole Play #7124,APP PURCHASE AUTO-PAY,technology,NY,2025-04-27
EXP000847,48.06,Subway #5607,COFFEE DEBIT,food,MA,2025-09-21
EXP005093,6.76,Aldi #8533,INSTORE,groceries,CA,2025-09-09
EXP004923,600.98,Dell 3E2WMI,DEVICE,technology,NY,2024-12-27
EXP007892,99.72,CVS Pharmacy #7154,PHARMACY,healthcare,WA,2025-08-22
EXP007099,192.03,Health Clinic,HEALTHCARE SERVICE DEBIT,healthcare,NY,2025-02-01
EXP002619,92.04,Taxi Co #8595,RIDE,transport,NY,2025-02-21
EXP003022,18.03,Spotify #5412,STREAMING,entertainment,FL,2025-06-07
EXP000118,56.2,McDonald's #2262,MOBILE ORDER,food,NY,2025-04-12
EXP004475,225.73,Dell #5014,DEVICE,technology,FL,2025-04-04
EXP002759,40.39,BP #6990,GASOLINE,transport,NJ,2025-02-15
EXP005917,74.33,POS Aldi,GROCERY,groceries,NJ,2025-09-07
EXP004347,1103.85,Apple Store #4789,SOFTWARE,technology,IL,2025-02-22
EXP001060,77.9,AMAZON.COM*5115 #992,WEB PURCHASE,shopping,CA,2025-08-09
EXP000174,44.62,Starbucks QNK20I,MEAL,food,FL,2025-08-16
EXP007521,357.96,Health Clinic #4743,Health PURCHASE,healthcare,IL,2025-08-19
EXP007584,366.04,Rite Aid #5275,PHARMACY,healthcare,IL,2025-03-24
EXP006274,89.51,Comcast #5862,AUTOPAY,utilities,WA,2025-06-13
EXP004732,1891.39,Samsung #447,APP PURCHASE,technology,MA,2025-03-07
EXP004981,1897.8,Dell 62MCZT,DEVICE,technology,MA,2025-10-12
EXP005496,129.11,WHOLE FD #7397,DELI,groceries,NJ,2025-07-23
EXP006427,97.32,PG&E,BILL PAYMENT,utilities,CA,2025-03-11
EXP005523,50.58,kdi #5776,FRESH,groceries,CA,2025-08-17
EXP001007,311.21,Target,ORDER POS,shopping,NJ,2025-04-20
EXP002507,43.02,Shell IL,Shell CHARGE,transport,IL,2025-04-16
EXP005665,146.58,DEBI TKroger #3761,DEBI CHARGE,groceries,MA,2025-02-15
EXP000148,19.49,STBK #9653,STBK PURCHASE,food,CA,2025-09-03
EXP004839,1996.05,Microsoft Store #8510,SOFTWARE,technology,NJ,2025-01-18
EXP001436,145.08,AMZN MKTP 1S*1614 MA,AMZN CHARGE,shopping,CA,2024-11-04
EXP006265,34.99,AMZN MKTP US TE9Energy #2404,AUTOPAY,utilities,IL,2025-07-08
EXP003956,12.5,Spotify,FEE,entertainment,IL,2025-10-28
EXP006143,102.81,omcast Y83B8S,SERVICE CHARGE,utilities,FL,2025-01-23
EXP000323,2.85,Burger Kig 9#994,INSTORE,food,WA,2025-05-11
EXP002996,46.31,ONLINE Lyft #241,FUEL CHARGE,transport,MA,2024-12-15
EXP004907,666.35,Dell #7237,APP PURCHASE AUTO-PAY,technology,FL,2025-08-26
EXP002997,47.5,Lyft,Lyft PURCHASE,transport,FL,2024-12-31
EXP004313,1547.18,CREDIT Dell #2116,ELECTRONICS,technology,MA,2025-10-15
EXP001865,210.91,CREDIT eBay #8548,WEB PURCHASE DEBIT,shopping,MA,2025-11-01
EXP004526,1716.39,DEBIT Micoso8t Store,ELECTRONICS POS,technology,WA,2025-02-14
EXP004161,929.1,Microsoft Store #6053,DEVICE,technology,NY,2025-09-20
EXP003120,17.86,Spotify,FEE ONLINE,entertainment,WA,2025-09-01
EXP006589,257.14,DTE Energy,AUTOPAY,utilities,MA,2024-11-07
EXP005129,69.74,Aldi 9DVTN4,GROCERY,groceries,CA,2025-08-22
