id,amount,merchant,description,category,region,date
EXP004422,158.1,Apple Store 3ETSG8,ELECTRONICS,technology,NY,2025-08-02
EXP006323,305.52,AT&T #3927,BILL PAYMENT,utilities,MA,2025-07-04
EXP006541,54.83,Comcast,BILL PAYMENT ONLINE,utilities,MA,2025-01-04
EXP001696,261.74,ONLINE WALMART,WEB PURCHASE,shopping,NY,2025-06-20
EXP002294,53.55,Lyft IL,RIDE POS,transport,WA,2025-07-29
EXP006984,311.28,PG&E #8576,UTILITY BILL ONLINE,utilities,CA,2025-09-17
EXP001803,292.78,Walmart,RETAIL,shopping,IL,2025-05-05
EXP001950,132.54,DEBIT AMZN.COM/BILL9396,ORDER,shopping,FL,2024-11-16
EXP000472,21.72,KFC #7873,POS PURCHASE,food,IL,2025-06-28
EXP005589,180.94,Whole Foods,FRESH,groceries,MA,2025-07-01
EXP004091,608.92,Samsung #1950,ELECTRONICS,technology,NJ,2025-01-23
EXP004905,1785.89,Microsoft Store #8520,Microsoft CHARGE,technology,CA,2024-11-22
EXP007023,285.92,CVS Pharmacy #2772,PHARMACY POS,healthcare,IL,2025-07-17
EXP004294,238.29,Apple Store MGUHQU,ELECTRONICS POS,technology,TX,2024-12-30
EXP005335,224.55,ONLINE Aldi #7196,FRESH POS,groceries,FL,2025-09-03
EXP001580,389.03,Targt #1574,WEB PURCHASE,shopping,WA,2024-12-10
EXP001369,454.95,Walmart,RETAIL,shopping,TX,2025-07-20
EXP005240,133.96,Safeway #602,SUPERMARKET,groceries,FL,2024-11-25
EXP001587,443.74,eBay #7491,ORDER ONLINE,shopping,CA,2025-01-20
EXP001484,50.35,Best Buy,Best PURCHASE,shopping,NJ,2024-11-12
EXP004987,85.26,Apple Store #5411,DEVICE,technology,NJ,2025-05-26
EXP006575,352.58,CREaIT DTE Enegy #3145,UTILITY BILL,utilities,MA,2025-09-25
EXP001611,474.88,Best Buy #8223,ONLINE ORDER POS,shopping,WA,2024-12-04
EXP007827,238.45,Helath Clinic #7192,HEALTHCARE SERVICE,healthcare,MA,2025-09-23
EXP006335,46.54,PG&E#528,PG&E#528 PURCHASE,utilities,NJ,2025-09-10
EXP006911,303.23,DBIT PG&E #7498,SERVICE CHARGE,utilities,NY,2025-01-05
EXP000154,24.58,POS Subway #192,POS PURCHASE,food,NJ,2025-04-06
EXP006972,170.44,PG&E j5985,BILL PAYMENT,utilities,CA,2025-08-05
EXP007210,342.15,Walgreens #9920,PHARMACY,healthcare,TX,2025-09-05
EXP007545,335.76,Rite Aid IL,PHARMACY,healthcare,IL,2025-08-24
EXP004410,799.2,Apple Store,DEVICE,technology,NY,2025-05-10
EXP000538,10.91,ACH KFC #5406,INSTORE,food,FL,2025-06-14
EXP004640,224.46,Apple tSore,ELECTRONICS POS,technology,IL,2025-04-22
EXP000607,27.52,McDanalds #1200,COFFEE AUTO-PAY,food,WA,2025-07-23
EXP004748,600.27,Dell,SOFTWARE AUTO-PAY,technology,IL,2025-01-07
EXP004299,1963.92,CREDIT Microsoft Store KH0E6D,SOFTWARE,technology,NY,2025-06-27
EXP000506,58.41,Burger King CA,COFFEE,food,TX,2025-05-15
EXP004545,211.8,Microsoft Store #3469,ELECTRONICS,technology,FL,2025-05-12
EXP004953,311.96,Dell,DEVICE,technology,TX,2025-06-11
EXP001419,321.59,Best Buy,WEB PURCHASE,shopping,NY,2024-12-19
EXP006646,142.17,DTE Energy #3978,SERVICE CHARGE,utilities,TX,2025-10-18
EXP001306,243.38,Best Buy #2781,RETAIL,shopping,MA,2025-10-20
EXP006409,189.69,Verizon #518,BILL PAYMENT DEBIT,utilities,CA,2025-04-17
EXP006868,68.04,AMZN MKTP US AT&T,AUTOPAY AUTO-PAY,utilities,IL,2025-09-03
EXP007723,143.7,DEBIT CVS Pharmacy MA,CLINIC,healthcare,NY,2025-04-19
EXP003276,8.53,YouTube Premium #9378,YouTube CHARGE,entertainment,CA,2025-08-08
EXP003782,17.2,Netflix,SUBSCRIPTION,entertainment,CA,2024-12-15
EXP006429,123.11,AT&T LR9C0L,AUTOPAY,utilities,WA,2025-02-05
EXP001540,32.86,Best Buy #610,ONLINE ORDER,shopping,NJ,2024-11-22
EXP000183,17.83,McDonald's,McDonald's PURCHASE,food,NY,2025-07-12
EXP000201,28.75,McDonalds #1427,MOBILE ORDER,food,WA,2024-11-06
EXP007361,260.19,CVS Pharmacy #4009,PRESCRIPTION,healthcare,NJ,2025-01-15
EXP007118,141.08,Rite Ad #9238,PRESCRIPTION,healthcare,TX,2025-03-26
EXP001175,456.29,DEBIT Walmart #2842,MKTPLACE,shopping,CA,2024-11-02
EXP007496,220.98,CVS Pharmacy #729,HEALTHCARE SERVICE,healthcare,FL,2024-11-11
EXP003423,18.6,Netflix,Netflix PURCHASE,entertainment,NY,2024-11-18
EXP001509,7.37,Amazon #9681,MKTPLACE,shopping,NY,2025-09-30
EXP001255,301.38,DEBIT WMART,ONLINE ORDER,shopping,NY,2025-07-08
EXP003989,6.52,YouTube Premium #9152,YouTube PURCHASE,entertainment,TX,2025-03-25
EXP004461,1626.78,Samsung TX,APP PURCHASE,technology,TX,2025-10-29
EXP000190,24.28,MCDONALDS NJ,MOBILE ORDER,food,MA,2025-09-11
EXP000112,27.86,Dominos,Dominos PURCHASE,food,MA,2025-08-16
EXP000650,46.86,McDonald's IL,COFFEE,food,NY,2025-08-30
EXP004898,650.61,Microsof tStore #1373,APP PURCHASE,technology,FL,2024-12-23
EXP003365,5.01,POS Netflix #625,STREAMING,entertainment,NJ,2025-09-25
EXP005873,105.28,TradervJoe's CA,FRESH AUTO-PAY,groceries,NY,2025-05-10
EXP000106,58.08,McDonalds #5065,POS PURCHASE,food,FL,2025-01-07
EXP000567,40.87,Starbucks #8701,MOBILE ORDER,food,IL,2024-12-17
EXP001021,412.63,AMZN MKTP US Best Buy FL,AMZN CHARGE,shopping,CA,2025-07-07
EXP004848,468.16,Apple Store 7#129,DEVICE AUTO-PAY,technology,WA,2025-02-08
EXP000859,6.41,RCEDI TSubway #6411,COFFEE DEBIT,food,CA,2025-01-16
EXP007227,389.39,Rite Ad #41k0,PHARMACY,healthcare,NJ,2025-05-07
EXP006182,46.46,DTE Energy #7609,SERVICE CHARGE,utilities,FL,2024-12-20
EXP005556,248.63,rTader Joe's# 1223,rTader CHARGE,groceries,WA,2025-10-23
EXP002039,33.16,AMZN MKTP US Lyft CA,TOLL,transport,NY,2025-07-31
EXP002771,23.13,yLft,RIDE,transport,CA,2025-10-31
EXP006403,290.57,Comcast #2740,AUTOPAY,utilities,MA,2025-06-24
EXP002152,89.19,Shell #6814,Shell CHARGE,transport,IL,2024-11-07
EXP005783,242.82,Safeway MA,Safeway PURCHASE,groceries,NJ,2024-11-22
EXP000350,24.12,ACH Starbucks,ACH PURCHASE,food,TX,2025-09-06
EXP006190,263.59,AMZNMKTP US ATkT,UTILITY BILL AUTO-PAY,utilities,NJ,2025-09-29
EXP001908,106.77,Walmart #5509,RETAIL AUTO-PAY,shopping,TX,2025-04-04
EXP003309,10.35,Spotify,MONTHLY SUBSCRIPTION,entertainment,IL,2025-06-23
EXP001087,123.98,eBay CA,RETAIL ONLINE,shopping,TX,2025-04-01
EXP004437,1470.07,Google Play FL,Google CHARGE,technology,NY,2025-05-08
EXP003923,9.71,Spotify #3585,Spotify PURCHASE,entertainment,FL,2025-01-07
EXP007378,282.43,Rite Aid,PHARMACY,healthcare,FL,2025-07-05
EXP007907,420.27,POS CVS Pharmacy,PRESCRIPTION,healthcare,MA,2025-05-24
EXP000942,38.25,ACH KFC,MOBILE ORDER,food,NY,2025-05-25
EXP004190,1362.15,Microsoft Store #7396,SOFTWARE,technology,MA,2024-11-10
EXP001374,444.79,eBay #8574,MKTPLACE,shopping,WA,2025-09-11
EXP001090,213.24,Walmart #1168,WEB PURCHASE,shopping,NY,2025-04-08
EXP000212,44.51,ACH McDonalds #7045,ACH PURCHASE,food,NY,2025-05-21
EXP006448,244.55,AT&T #5472,BILL PAYMENT AUTO-PAY,utilities,TX,2025-03-14
EXP003023,17.68,Netflix #4650,FEE,entertainment,NJ,2025-05-19
EXP006256,149.16,POS Verizon MA,POS PURCHASE,utilities,FL,2025-01-29
EXP001289,85.45,ACH Target #9110,ONLINE ORDER,shopping,IL,2025-09-18
EXP006175,216.59,Verzion IL,BILL PAYMENT AUTO-PAY,utilities,WA,2025-10-13
EXP001735,106.33,DEBIT WMART,WEB PURCHASE,shopping,CA,2025-03-24
